published_date,title,source,description,link,date_string
2024-11-26,"Keffiyeh Palestina Resmi Masuk Daftar Warisan Budaya Tak Benda ICESCO, Simbol Perjuangan yang Abadi - Rubic News",Rubic News,Pengakuan keffiyeh sebagai Warisan Budaya Tak Benda oleh ICESCO ini ditetapkan bertepatan dengan peringatan Hari Nasional Keffiyeh.,https://www.rubicnews.com/gaya-hidup/45314030740/keffiyeh-palestina-resmi-masuk-daftar-warisan-budaya-tak-benda-icesco-simbol-perjuangan-yang-abadi,26 Nov 2024
2024-11-26,Umum,KPI.go.id,Jakarta – Komisi Penyiaran Indonesia (KPI) memutuskan menjatuhkan sanksi administratif berupa teguran tertulis untuk Program Siaran Jurnalistik “Berita Satu...,https://www.kpi.go.id/id/umum/38-dalam-negeri?detail5=1006&detail3=22445&start=35,26 Nov 2024
2024-11-26,"Koruptor Tetap Tenang, RUU Perampasan Aset Tak Masuk Prolegnas 2025 - Radar Malang",Radar Malang,"RUU Perampasan Aset, yang mampu menjadi senjata andalan melawan korupsi, tidak termasuk dalam Prolegnas Prioritas 2025.",https://radarmalang.jawapos.com/berita-terbaru/815354938/koruptor-tetap-tenang-ruu-perampasan-aset-tak-masuk-prolegnas-2025,26 Nov 2024
2024-11-25,"Rapat Perdana di DPR RI, Menhan Sepakat Bakal Lanjutkan Revisi UU TNI - disway.id",Disway,Menteri Pertahanan (Menhan) Sjafrie Sjamsoeddin bakal menyelesaikan sejumlah program selama lima tahun ke depan.,https://disway.id/read/838349/rapat-perdana-di-dpr-ri-menhan-sepakat-bakal-lanjutkan-revisi-uu-tni,25 Nov 2024
2024-11-25,Aleg PKS Dorong KIP Optimalkan Implementasi UU Keterbukaan Informasi Publik dalam Pilkada Serentak,Fraksi PKS,"Wakil Ketua Komisi I Dewan Perwakilan Rakyat (DPR) RI dari Fraksi PKS, Ahmad Heryawan menyampaikan Komisi I mendorong KPI, KIP dan Dewan Pers agar...",https://fraksi.pks.id/2024/11/25/aleg-pks-dorong-kip-optimalkan-implementasi-uu-keterbukaan-informasi-publik-dalam-pilkada-serentak/,25 Nov 2024
2024-11-25,Fadli Zon Dukung Pembukaan Bioskop Baru Khusus Film Indonesia,Tirto.id,"Menteri Kebudayaan, Fadli Zon, mengeklaim, bioskop ini akan hadir di 17 kabupaten dan kota dan akan langsung beroperasi per 5 Desember 2024 mendatang.",https://tirto.id/fadli-zon-dukung-pembukaan-bioskop-baru-khusus-film-indonesia-g581,25 Nov 2024
2024-11-21,"FOTO: Protes RUU Perlindungan Anjing-Kucing Gagal Masuk RUU Prolegnas, Aktivis Geruduk DPR Bawa Foto Prabowo dan Bobby",Merdeka.com,Kegagalan RUU Pelarangan Perdagangan Anjing dan Kucing masuk dalam Prolegnas menjadi sorotan aktivis hewan dalam Koalisi Dog Meat Free Indonesia.,https://www.merdeka.com/peristiwa/foto-protes-ruu-perlindungan-anjing-kucing-gagal-masuk-ruu-prolegnas-aktivis-geruduk-dpr-bawa-foto-prabowo-dan-bobby-241006-mvk.html,21 Nov 2024
2024-11-21,Umum,KPI.go.id,"KPI | Komisi Penyiaran Indonesia - Jadikan Penyiaran Indonesia yang Sehat, Bermanfaat, dan Bermartabat.",https://www.kpi.go.id/id/umum/38-dalam-negeri?detail3=23923&start=35&detail5=23486,21 Nov 2024
2024-11-20,"DPR Tetapkan 176 RUU Masuk Prolegnas, 41 RUU Prioritas 2025",Tempo.co,DPR menetapkan sebanyak 176 Rancangan Undang-undang masuk dalam Program Legislasi Nasional atau Prolegnas 2024-2029.,https://www.tempo.co/politik/dpr-tetapkan-176-ruu-masuk-prolegnas-41-ruu-prioritas-2025-1170670,20 Nov 2024
2024-11-20,Legislator PDIP Sarifah Protes TV Tayangkan Kasus Cerai hingga LGBT,Rmol.id,Komisi Penyiaran Indonesia (KPI) diminta untuk mengurangi program acara TV kurang mendidik.Permintaan itu disampaikan Anggota Komisi I DPR RI fraksi.,https://rmol.id/nusantara/read/2024/11/20/645454/legislator-pdip-sarifah-protes-tv-tayangkan-kasus-cerai-hingga-lgbt,20 Nov 2024
