Source,Target,Weight
maulin_n,hpwiratraman,1
maulin_n,lsj_lawugm,1
maulin_n,pakuite,1
maulin_n,pandji,1
maulin_n,poetratron,1
maulin_n,tsetiady,1
mediasiber_04,DJPPIKominfo,1
mediasiber_04,digitalkominfo,1
mediasiber_04,kabarterkini,2
mediasiber_04,prabowo,1
mediasiber_04,usernotfund34,1
meeeiftah,arucloud,1
meeyeaw,kompascom,1
melianaehe,Coklatjellyy,1
melianaehe,whelyive,1
melplerr,awjen9,1
menaramasjid,tempodotco,1
menuksutrisno,MichelAdam7__,1
mglbr,ChangeOrg_ID,1
milzamrcom,cicibercerita,1
mintoadhi1210,barengwarga,1
miqbalhm1,corbuzier,1
miyuwmiyaw,Mad49841873,1
miyuwmiyaw,PartaiSocmed,1
miyuwmiyaw,RioFl4,1
miyuwmiyaw,rebase_nft,1
modernliferacun,corbuzier,2
modernliferacun,dimstrds,1
muel_cristin,brfelindra,1
muhnur_ilham,pandji,1
munafisk,Dandhy_Laksono,1
munafisk,idbaruid,1
mymo0d,Rigensih,1
mynameishendry,ARSIPAJA,2
mynameishendry,kikysaputrii,1
na_DiemMakarim,corbuzier,1
nadiakputri,kegblgnunfaedh,1
nafizal_mu,salmaptrsyifa,1
najib_prasetyo2,brfelindra,1
nasi_padangenak,axmiraclee,1
nasi_padangenak,timpenguinnas,1
nasi_padangenak,und_cuckoosnest,1
nasrudinmar,DPR_RI,1
naufalfalahfal,cania_citta,1
naufalfalahfal,pandji,1
nd_nughro,aromapetrikorr,1
nd_nughro,sukasukasry,1
nedo_oden,moviemenfes,1
nengherba,meutya_hafid,1
nengherba,nezarpatria,1
neorevolte,aromapetrikorr,1
ngosekgaplek,chocolatyaa,1
nizar_nero27,DaddyMinusSugar,1
nizar_nero27,Tan_Mar3M,1
nonerahm,jokowi,1
norishito09,pandji,1
nugujiya_,hooniethelima,1
nv_chrome,_ranituran,1
oconXBoyy,FaiqHusaen81683,1
oconXBoyy,RadjaRasta_,1
olahankedelai,irwndfrry,1
olanzaphine,ARSIPAJA,1
olanzaphine,spiritblueming,1
olanzaphine,theafragment,1
orangdua_,ardisatriawan,1
orbsshine,barengwarga,1
oryza_wirawan,pandji,1
oryza_wirawan,realfedinuril,1
parlemendjalan,CNNIndonesia,1
peribawangStash,artistsbase,1
petanisaja,Mythicalforest,1
peter_hari,prabowo,1
pie_ceofher,fajarnugros,1
pieflowersky,ARSIPAJA,1
pondngalam,ubsansfess,1
pra47880678,txtdrimedia,1
pras18ter,HumorJonTampan,1
pras18ter,SBYudhoyono,1
pras18ter,prabowo,3
prasetyo_slhdn,brfelindra,1
prfromaga,Gerindra,1
prfromaga,prabowo,1
priiiitt,SiaranBolaLive,1
prima_jailani,brfelindra,1
pulupulumiaw,Barri_2410,1
pulupulumiaw,BudiBukanIntel,1
pulupulumiaw,_IhzaFirdaus,1
pulupulumiaw,barengwarga,1
